feature,importance
FACTOR15,20.855055023204578
PC47,3.171767164351464
PC15,2.896183248898747
PC53,2.772397869203254
PC68,2.7154549993728225
PC80,2.5350925155877313
PC138,2.33040431181626
PC14,2.072247483236899
PC145,1.7216994346661967
PC34,1.4640545942254564
PC159,1.4565893519156157
PC143,1.4310459228184715
PC42,1.4123703290117051
PC153,1.2815886911213743
PC74,1.1839423261201747
PC45,0.984855622508359
PC40,0.9759931820590302
PC46,0.9480354417684419
PC12,0.9439885207887817
PC97,0.9090880084944675
PC62,0.880947721685631
PC25,0.8663194715813538
PC132,0.8366101820203656
PC1,0.8150673831226549
PC63,0.7940935776914501
PC124,0.7898094691358579
PC30,0.7859528085699585
PC89,0.7653236773435795
PC43,0.7481424123838392
PC92,0.7409069268947689
PC123,0.7116566533501321
PC155,0.6877603640371314
PC84,0.6805017375287569
PC102,0.6692074175927578
PC156,0.652094417822911
PC35,0.6510625190176335
PC69,0.6454334390222576
PC48,0.6327215751116124
FACTOR6,0.6292012958522955
PC31,0.6022143285734122
PC76,0.6011910228061497
PC11,0.5818289441583114
PC85,0.5654855315050196
PC114,0.553874569730621
PC2,0.5467632718578161
PC60,0.5274599364519352
PC36,0.5257631144959538
PC4,0.5191062999037048
PC5,0.5180895946220595
PC146,0.5162837477190163
PC117,0.5023247486770306
PC90,0.4646981104231303
PC142,0.4536445406141043
PC122,0.4349729531487744
PC148,0.4308194543831272
PC87,0.42123235158763517
PC55,0.41341018680388775
PC139,0.4076854057537022
PC83,0.4047944387725008
PC82,0.38999741915700104
PC113,0.3892183355605541
PC61,0.3706369537534434
PC91,0.3693363012782287
PC116,0.3624415350780507
PC67,0.361146406634095
PC39,0.3388474365443746
PC112,0.3339023533726288
PC101,0.3333877093594107
PC104,0.32668564126323824
PC17,0.32588399544864377
PC26,0.32448077579062296
PC10,0.3239235587242726
PC121,0.3212356820419714
PC32,0.32055877231542357
PC140,0.316865221430872
PC66,0.315958779781296
PC96,0.314527342538613
PC22,0.314157123900389
PC93,0.30997348395685137
PC7,0.30659063274502873
PC118,0.306150588296994
PC95,0.3051111383348999
PC19,0.30434112720422885
PC44,0.2975315248536862
PC108,0.2938394024939525
PC18,0.29272845670145825
PC136,0.28966385683940016
PC107,0.2842126037089312
PC135,0.28323838090933406
PC141,0.2732008998344251
PC103,0.27223286191286294
PC21,0.2721682928791252
PC88,0.27113129530670993
PC160,0.2534838572979737
PC8,0.25238943513345596
PC58,0.24494567535117914
PC64,0.24353300471306907
PC129,0.2431959115203182
PC119,0.23723477218740732
PC131,0.23541640583703652
PC125,0.2348067423732806
PC94,0.2326129654691144
PC115,0.23259070215959313
PC51,0.22227763275488954
FACTOR7,0.2180115562344588
PC41,0.21485097581784596
PC16,0.21148260015244857
PC73,0.2105881033703062
PC65,0.2103885074854132
PC147,0.20974942225961107
PC109,0.203915536378689
PC50,0.20141233361934188
PC78,0.1998597208551595
PC37,0.19634878628913505
PC86,0.19597184419650268
PC38,0.19477113175353075
PC134,0.19417832759785497
PC56,0.19229382512434315
PC72,0.19128347925524652
PC120,0.18771780619104128
PC110,0.1869739120371544
PC150,0.18257186567861936
PC137,0.1782524506395352
PC105,0.17793788409177436
PC77,0.17541308877338863
PC28,0.17364207902097162
PC24,0.1733032053380189
PC149,0.16814799287832508
PC133,0.16545587699140535
PC27,0.16532911717223445
PC49,0.16401172158867858
PC20,0.15712276605055223
PC81,0.15115424242989883
PC79,0.1466626629041071
PC130,0.14397824474086796
PC106,0.14384505882433904
PC151,0.14208949437913063
PC99,0.13369370988348148
PC59,0.1314468271151528
PC98,0.1310019897381249
PC128,0.12862951793061267
PC75,0.11919828615336549
PC70,0.11770442172523236
PC52,0.11666003567234909
PC111,0.11499464114554639
PC57,0.11323576808798021
PC144,0.09859821390091812
FACTOR5,0.09709100576144855
PC158,0.09701095275446847
PC152,0.09511165252366777
PC71,0.0935875622523307
PC100,0.09067162377749297
FACTOR17,0.08451582513250348
PC29,0.07979013160307319
FACTOR11,0.07376873861563955
PC126,0.07061694737356385
PC127,0.06727270080790058
FACTOR18,0.05817336553323793
PC23,0.057587790803918314
PC154,0.054222235282726794
PC54,0.04699508836724691
PC33,0.04686800663366147
PC13,0.04446831988010978
FACTOR13,0.0363978150588366
FACTOR16,0.02905667656333003
FACTOR9,0.017533085831473384
PC9,0.017113718260713635
FACTOR10,0.014896109890169047
PC6,0.008090393595093861
FACTOR2,0.001134208139414056
FACTOR12,4.4376414256172656e-05
PC3,0.0
FACTOR1,0.0
PC157,0.0
FACTOR8,0.0
FACTOR3,0.0
FACTOR4,0.0
FACTOR14,0.0
